*

category,name,description,price,badge
Espresso Drinks,Espresso,Classic double shot pulled slow — rich crema, dark fruit finish,3.50,House Favorite
Espresso Drinks,Cortado,Equal parts ristretto and warm whole milk. Balanced and never bitter,4.25,
Espresso Drinks,Cappuccino,Double shot topped with thick velvety microfoam and a dusting of cocoa,4.75,Popular
Espresso Drinks,Caramel Flat White,Two ristretto shots with steamed whole milk and our house-made caramel sauce,5.50,Popular
Espresso Drinks,Vanilla Latte,Smooth double shot with steamed oat milk and Madagascar vanilla syrup,5.25,
Espresso Drinks,Hazelnut Mocha,Double shot with dark chocolate sauce, toasted hazelnut syrup, and steamed milk,5.75,House Favorite
Cold Drinks,Cold Brew,Steeped 18 hours and served over ice. Naturally sweet with a full-bodied finish,5.00,Popular
Cold Drinks,Iced Caramel Latte,Espresso over ice with whole milk and a generous salted caramel drizzle,5.50,
Cold Drinks,Strawberry Matcha Latte,Ceremonial grade matcha layered over strawberry cold foam and oat milk,6.25,New
Cold Drinks,Chocolate Mudslide,Nutella blended with espresso, dark chocolate syrup, and oat milk — over ice,6.75,House Favorite
Cold Drinks,Mango Cold Foam Lemonade,Fresh-squeezed lemonade topped with whipped mango cold foam and tajín,5.75,New
Pastries,Almond Croissant,Twice-baked with frangipane filling, topped with toasted flaked almonds,4.50,Popular
Pastries,Cardamom Morning Bun,Yeasted dough rolled in cinnamon-cardamom sugar with an orange zest glaze,4.25,House Favorite
Pastries,Dark Chocolate Brownie,Dense single-origin cocoa brownie with a salted caramel swirl through the centre,4.00,
Pastries,Lemon Ricotta Muffin,Fluffy muffin with whipped lemon ricotta and a candied peel on top,3.75,
Pastries,Pistachio Knot,Braided yeasted pastry filled with pistachio cream and finished with honey,5.00,New
Sandwiches,Smoked Salmon Bagel,Whipped cream cheese, cucumber, capers, red onion and dill on a toasted sesame bagel,12.50,Popular
Sandwiches,Avocado & Egg Toast,Sourdough with smashed avocado, a jammy soft-boiled egg, chili flakes and microgreens,11.00,House Favorite
Sandwiches,Turkey & Brie Melt,Sliced turkey, melted brie, fig jam and peppery arugula on pressed sourdough,13.50,
Sandwiches,Caprese Panini,Fresh mozzarella, heirloom tomatoes, basil pesto and aged balsamic on ciabatta,12.00,
